IDENTIFIER: Reference ID,FORMULA,Microstructure,Processing method,grain size,Exp. Density,Calculated Density,HV,Type of test,Test temperature,YS,UTS,Elongation,Elongation plastic,Exp. Young modulus,Calculated Young modulus,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Hf,Li,Mg,Mn,Mo,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr,B2,BCC,FCC,Sec.,HCP,L12,Laves,Other,ANNEAL,CAST,OTHER,POWDER,WROUGHT,C_test,T_test
27,Al0.25 Co1 Fe1 Ni1,FCC,CAST,,,7.9,138,C,25,158,,,,,192,0,0.25,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
27,Al0.5 Co1 Fe1 Ni1,FCC+BCC,CAST,,,7.4,212,C,25,346,,,,,,0,0.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
27,Al0.75 Co1 Fe1 Ni1,FCC+BCC,CAST,,,7,385,C,25,794,,,,,,0,0.75,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
27,Al1 Co1 Fe1 Ni1,BCC,CAST,,,6.6,456,C,25,964,,,,,162,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
27,Co1 Fe1 Ni1,FCC,CAST,,,8.5,125,C,25,204,,,,,207,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
27,Co1 Fe1 Ni1,FCC,CAST,,,8.5,125,C,25,209,,,,,207,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
27,Co1 Fe1 Ni1 Si0.25,FCC,CAST,,,7.7,149,C,25,196,,,,,186,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
27,Co1 Fe1 Ni1 Si0.5,FCC+Sec.,CAST,,,7.1,287,C,25,476,,,,,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
27,Co1 Fe1 Ni1 Si0.75,FCC+Sec.,CAST,,,6.6,570,C,25,1301,,,,,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
37,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,24,,8.2,,T,25,274,708,39,,,226,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
37,Co1 Cr1 Mn1 Ni1,FCC,WROUGHT,36,,8.1,,T,25,282,694,44,,,222,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
37,Co1 Cr1 Ni1,FCC,WROUGHT,41,,8.3,,T,25,300,860,60,,,231,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
37,Co1 Fe1 Mn1 Ni1,FCC,WROUGHT,48,,8.2,,T,25,170,550,41,,,204,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
37,Co1 Fe1 Ni1,FCC,WROUGHT,28,,8.5,,T,25,211,513,31,,,207,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
37,Co1 Mn1 Ni1,FCC,WROUGHT,32,,8.4,,T,25,231,653,38,,,202,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
